Αγρίνιο;AGQ
Αθήνα - Ελ. Βενιζέλος;ATH
Αλεξανδρούπολη;AXD
Ανδραβίδα - Κυλλήνη;PYR
Αστυπάλαια;JTY
Βόλος - Νέα Αγχίαλος;VOL
Ζάκυνθος;ZTH
Ηράκλειο;HER
Θεσσαλονίκη - Μακεδονία;SKG
Ικαρία;JIK
Ιωάννινα;IOA
Καβάλα;KVA
Καλαμάτα;KLX
Κάλυμνος;JKL
Κάρπαθος;AOK
Κάσος;KSJ
Κάσος;KSJ
Καστελλόριζο;KZS
Καστοριά;KSO
Κέρκυρα;CFU
Κεφαλονιά;EFL
Κοζάνη;KZI
Κύθηρα;KIT
Κως;KGS
Λάρισα;LRA
Λέρος;LRS
Λέρος;LRS
Λήμνος;LXS
Μήλος;MLO
Μύκονος;JMK
Μυτιλήνη - Λέσβος;MJT
Νάξος;JNX
Πάρος;PAS
Πάτρα - 'Αραξος;GPA
Πρέβεζα - Άκτιο;PVK
Ρόδος;RHO
Σάμος;SMI
Σαντορίνη;JTR
Σητεία;JSH
Σκιάθος;JSI
Σκύρος;SKU
Σπάρτη;SPJ
Σύρος;JSY
Χανιά;CHQ
Χίος;JKH
Βιέννη - Vienna Int. Airport;VIE
Σάλτσμπουργκ;SZG
Ίνσμπρουκ;INN
Γκρατς;GRZ
Βρυξέλλες -National;BRU
Βρυξέλλες - Charleroi;CRL
Αμβέρσα;ANR
Λιέγη;LGG
Σόφια;SOF
Μπουργκάς;BOG
Βάρνα;VAR
Φιλιππούπολη;PDV
Ζάγκρεμπ;ZAG
Σπλιτ;SPU
Ντουμπρόβνικ;DBV
Ζαντάρ;ZAD
Λάρνακα;LCA
Λευκωσία;NIC
Πάφος;PFO
Πράγα;PRG
Μπρνο;BRQ
Οστράβα;OSR
Κάρλοβι Βάρι;KLV
Κοπεγχάγη;CPH
Μπίλουντ;BLL
Άλμποργκ;AAL
Άρχους;AAR
Μπρόνχολμ;RNN
Ταλίν;TLL
Κουρεσάρε;URE
Ταρτού;TAY
Ελσίνκι;HEL
Ούλου;OUL
Ροβανιέμι;RVN
Τουρκού;TKU
Παρίσι - Charles de Gaulle;CDG
Παρίσι - Orly;ORY
Νίκαια;NCE
Λυόν;LYS
Μασσαλία;MRS
Τουλούζ;TLS
Μπαλέ;MLH
Μπορντώ;BOD
Νάντη;NTE
Στρασβούργο;SXB
Λιλ;LIL
Μονπελιέ;MPL
Φρανκφούρτη;FRA
Μόναχο;MUC
Ντίσελντορφ;DUS
Βερολίνο - Tegel;TXL
Αμβούργο;HAM
Βερολίνο - Schönefeld;SXF
Κολωνία - Βόννη;CGN
Στουτγάρδη;STR
Ανόβερο;HAJ
Νυρεμβέργη;NUE
Βρέμη;BRE
Δρέσδη;DRS
Λειψία;LEJ
Ντόρντμουντ;DTM
Δρέσδη;DRS
Καρλσρούη;FKB
Μέμινγκεν;FMM
Βουδαπέστη;BUD
Ντέμπρετσεν;DEB
Ρέκιαβικ;RKV
Δουβλίνο;DUB
Σάνον;SNN
Κορκ;ORK
Ρώμη - Fiumicino;FCO
Ρώμη - Ciampino;CIA
Μιλάνο - Malpensa;MXP
Μιλάνο - Bergamo;BGY
Βενετία;VCE
Μιλάνο - Linate;LIN
Κατάνια;CTA
Νάπολη;NAP
Μπολόνια;BLQ
Παλέρμο;PMO
Πίζα;PSA
Μπάρι;BRI
Τορίνο;TRN
Κάλιαρι;CAG
Βερόνα;VRN
Τρεβίζο;TSF
Φλωρεντία;FLR
Όλβια;OLB
Πρίντεζι;BDS
Γένοβα;GOA
Τεργέστη;TRS
Πάρμα;PMF
Ρίγα;RIX
Λιεπάγια;LPX
Κάουνας;KUN
Βίλνιους;VNO
Λουξεμβούργο;LUX
Μάλτα;MLA
Aμστερνταμ - Schiphol;AMS
Αϊντχόβεν;EIN
Ρότερνταμ - Χάγη;RTM
Μάαστριχτ;MST
Κρόνινγκεν;GRQ
Όσλο;FBU
Μπέργκεν;BGO
Στράβανγκερ;SVG
Τρόντχαϊμ;TRD
Βαρσοβία - Chopin;WAW
Κρακοβία;KRK
Γντανσκ;GDN
Κατοβίτσε;KTW
